#1;#2;#3;#4;#5;#6
7;9;19;29;39;45;
11;18;26;42;43;45;
20;22;27;32;36;44;
1;4;13;14;34;36;
6;21;22;24;28;35;
11;20;21;26;33;40;
8;10;18;19;23;34;
2;14;22;23;33;43;
18;21;23;28;32;42;
8;15;22;34;42;43;
4;17;22;29;30;32;
16;18;19;26;33;36;
1;11;17;23;24;26;
9;10;11;19;24;29;
4;6;15;16;21;30;
7;12;15;22;34;45;
5;6;14;18;36;39;
13;22;27;32;41;43;
4;15;30;36;39;45;
3;11;12;35;42;45;
17;30;31;33;44;45;
7;17;30;35;36;43;
6;22;24;28;30;45;
4;6;14;17;27;38;
16;19;23;26;27;43;
4;18;19;25;26;29;
3;12;13;20;29;40;
8;10;16;23;29;44;
3;6;16;17;31;45;
10;23;26;32;33;36;
9;17;22;29;33;36;
6;8;28;37;38;40;
10;21;24;34;42;43;
13;24;26;33;38;42;
6;22;27;29;37;43;
8;11;32;36;40;41;
14;19;22;30;38;42;
5;8;21;24;34;43;
8;29;36;38;40;44;
13;25;32;43;44;45;
3;7;8;14;30;35;
18;20;21;23;37;41;
10;13;20;26;27;33;
4;5;11;14;35;45;
10;17;22;26;28;30;
2;5;14;17;24;28;
10;13;15;29;30;39;
1;8;18;29;30;34;
6;23;25;33;39;41;
2;11;27;30;33;34;
8;21;29;37;39;43;
7;13;15;23;24;29;
3;5;7;25;34;42;
15;26;28;29;33;36;
7;21;30;31;40;45;
11;18;19;37;39;44;
2;6;8;12;24;25;
9;16;19;30;35;41;
8;11;14;28;34;43;
4;11;21;34;38;40;
11;19;25;26;27;29;
7;13;18;27;30;33;
8;13;14;17;19;45;20
7;16;24;36;43;44;12
10;13;15;22;40;44;8
8;13;17;27;35;40;7
12;14;17;26;35;37;42
3;4;11;29;38;42;45
5;11;19;24;38;40;28
10;26;28;35;36;44;29
8;17;24;29;34;35;21
3;8;9;28;35;37;24
3;11;14;17;18;20;16
7;17;18;19;43;44;33
2;3;9;18;22;44;27
15;20;29;32;37;44;23
1;16;20;34;35;42;39
16;18;23;29;32;42;10
2;13;14;18;32;45;37
12;15;18;26;28;38;2
8;13;17;34;41;44;5
14;17;22;31;35;45;6
5;8;20;21;28;32;6
2;4;5;7;38;43;32
4;12;20;29;33;43;16
5;6;16;29;30;32;9
19;24;35;36;37;45;12
7;10;20;22;38;41;39
12;16;27;32;35;45;28
2;24;25;31;36;38;23
10;15;29;34;37;41;17
3;9;13;27;35;36;4
2;28;29;31;43;44;36
13;15;19;20;26;35;2
12;18;22;23;27;39;42
2;3;23;28;35;42;15
4;5;13;33;35;39;21
5;21;36;37;38;43;41
5;7;17;25;26;36;43
2;5;12;24;36;38;45
4;7;17;22;31;33;30
3;20;29;30;31;34;38
8;13;32;37;39;45;16
3;5;9;11;31;43;29
1;3;5;30;40;43;8
1;21;22;30;39;40;19
17;20;21;22;23;43;38
3;5;15;18;42;43;12
12;16;18;28;31;35;40
3;5;7;8;39;40;6
3;14;29;30;32;42;5
1;6;10;25;33;38;39
14;20;27;32;44;45;35
2;6;23;27;28;38;14
9;13;21;35;39;45;15
5;10;22;24;36;41;27
2;16;21;27;34;41;23
16;20;23;27;30;39;4
2;3;8;26;28;34;42
7;22;24;28;34;39;14
8;9;15;17;20;39;6
3;10;13;26;38;39;16
1;9;14;22;25;39;5
3;9;11;29;41;44;2
1;9;15;22;23;30;42
4;13;22;36;39;42;2
5;13;15;16;27;34;31
3;10;16;21;24;34;23
2;4;5;25;34;45;26
1;3;8;22;33;35;6
16;27;28;29;34;44;18
6;9;13;18;40;44;37
8;22;30;39;43;45;17
14;22;24;27;32;41;10
1;9;11;12;20;24;43
4;7;22;26;42;44;16
4;20;21;25;26;32;23
1;5;11;13;21;22;37
3;5;12;40;41;45;2
3;9;14;17;20;31;27
1;12;13;25;28;44;29
1;21;24;25;33;34;6
16;21;26;40;41;43;28
3;6;8;32;38;42;43
8;10;16;19;43;44;1
10;13;32;36;39;45;42
5;18;19;26;40;43;41
16;27;35;37;39;44;3
2;5;13;22;28;35;33
4;18;27;29;38;42;23
2;20;24;35;42;44;40
6;26;27;35;43;44;14
2;5;6;28;35;41;43
1;7;19;20;21;26;33
1;16;21;22;23;42;27
9;13;21;26;29;39;6
9;10;11;24;26;31;14
7;9;23;28;39;42;34
2;12;25;27;29;30;11
2;11;21;26;30;42;4
3;4;8;14;17;37;11
19;22;33;40;42;43;28
30;31;33;38;40;42;39
5;20;22;29;42;45;1
3;12;21;30;42;43;20
1;7;14;32;33;37;15
1;2;12;37;40;41;17
6;13;19;20;22;35;32
1;5;28;35;36;37;39
8;24;25;28;31;40;30
4;12;16;18;33;40;7
9;16;28;30;32;33;22
